Date,Price,Open,High,Low,Vol.,Change %
9/9/2021,44152,42936,44152,42936,100.73K,2.83%
9/10/2021,44233,44395,44395,43747,100.48K,0.18%
9/13/2021,45367,44395,45610,44233,72.46K,2.56%
9/14/2021,48526,46177,48526,46096,316.87K,6.96%
9/15/2021,49579,50228,51848,48850,280.33K,2.17%
9/16/2021,48931,51038,51038,48607,140.47K,-1.31%
9/17/2021,48931,49417,50065,48688,84.19K,0.00%
9/20/2021,50957,49012,52253,48769,146.15K,4.14%
9/21/2021,50065,50228,50633,48769,124.18K,-1.75%
9/22/2021,52010,51605,52253,50228,73.57K,3.88%
9/23/2021,50633,52982,52982,50309,98.75K,-2.65%
9/24/2021,49012,51038,51038,49012,149.73K,-3.20%
9/27/2021,46420,48688,48931,45610,248.11K,-5.29%
9/28/2021,47797,46177,48283,44557,108.75K,2.97%
9/29/2021,47716,47797,47797,44638,62.46K,-0.17%
9/30/2021,47635,46987,47716,46987,55.18K,-0.17%
10/1/2021,46825,47149,49093,46015,108.75K,-1.70%
10/4/2021,46744,46906,47230,46015,80.85K,-0.17%
10/5/2021,48121,46501,48283,46177,98.75K,2.95%
10/6/2021,48121,48202,48445,47392,52.34K,0.00%
10/7/2021,49660,50228,50228,47959,54.44K,3.20%
10/8/2021,49660,49741,49741,48607,93.57K,0.00%
10/11/2021,49417,49660,49660,48769,43.45K,-0.49%
10/12/2021,49336,49660,49660,48607,32.96K,-0.16%
10/13/2021,49174,48850,49498,48850,38.39K,-0.33%
10/14/2021,50065,49417,51848,49417,81.22K,1.81%
10/15/2021,50228,50876,50876,49741,58.14K,0.33%
10/18/2021,49417,50228,50228,48769,42.22K,-1.61%
10/19/2021,48364,48607,49012,48040,30.24K,-2.13%
10/20/2021,48283,48040,49012,48040,53.45K,-0.17%
10/21/2021,49417,48283,49579,48283,23.82K,2.35%
10/22/2021,49336,49417,49579,48283,40.12K,-0.16%
10/25/2021,48607,49336,49336,48121,61.10K,-1.48%
10/26/2021,48283,48283,48607,47797,42.34K,-0.67%
10/27/2021,49012,48283,49822,47959,72.34K,1.51%
10/28/2021,50065,49822,50065,48607,90.36K,2.15%
10/29/2021,51038,51119,51767,50714,103.81K,1.94%
11/1/2021,51848,53468,53468,51038,94.43K,1.59%
11/2/2021,51686,51767,51929,50633,90.60K,-0.31%
11/3/2021,50552,49903,51767,49903,153.68K,-2.19%
11/4/2021,50957,50957,50957,50228,54.07K,0.80%
11/5/2021,51443,50957,51443,50471,77.89K,0.95%
11/8/2021,52091,51524,52253,51443,50.86K,1.26%
11/9/2021,52658,52658,53063,52010,48.14K,1.09%
11/10/2021,52496,53063,53063,51443,80.85K,-0.31%
11/11/2021,51848,52253,52253,48850,76.16K,-1.23%
11/12/2021,51929,51848,51929,51038,46.66K,0.16%
11/15/2021,51686,52253,52658,51443,32.34K,-0.47%
11/16/2021,51767,51686,51848,50633,67.52K,0.16%
11/17/2021,52334,51848,52334,51038,91.84K,1.10%
11/18/2021,55898,52415,55979,52415,300.94K,6.81%
11/19/2021,56627,59058,59058,52010,106.16K,1.30%
11/22/2021,54197,53468,56627,53468,41.60K,-4.29%
11/23/2021,53792,50552,53792,50552,107.02K,-0.75%
11/24/2021,55331,53873,55331,52172,76.41K,2.86%
11/25/2021,55493,55331,55898,55250,104.55K,0.29%
11/26/2021,53063,55493,55493,53063,54.68K,-4.38%
11/29/2021,51686,51119,53792,50228,82.70K,-2.60%
11/30/2021,50228,51119,51686,50228,122.45K,-2.82%
12/1/2021,50633,50309,51443,50309,333.53K,0.81%
12/2/2021,50552,50633,50714,49903,268.48K,-0.16%
12/3/2021,49336,50552,50552,49255,266.13K,-2.41%
12/6/2021,48688,49417,49417,48688,111.22K,-1.31%
12/7/2021,49255,48688,50552,48688,173.55K,1.16%
12/8/2021,49174,49255,49417,48607,105.91K,-0.16%
12/9/2021,49417,49255,49417,48688,26.29K,0.49%
12/10/2021,50228,49417,50228,48769,53.57K,1.64%
12/13/2021,49822,50957,50957,49498,46.17K,-0.81%
12/14/2021,49012,50633,50633,48931,99.00K,-1.63%
12/15/2021,48850,48931,49336,48850,90.23K,-0.33%
12/16/2021,48688,48607,49093,48283,52.83K,-0.33%
12/17/2021,48931,48688,49336,48445,58.14K,0.50%
12/20/2021,48040,48607,49417,47797,96.28K,-1.82%
12/21/2021,48040,47797,48040,47068,51.47K,0.00%
12/22/2021,48121,47797,48526,46987,100.73K,0.17%
12/23/2021,46987,47392,48121,46987,45.43K,-2.36%
12/24/2021,47797,47068,48445,46987,23.08K,1.72%
12/27/2021,48364,46177,48607,46177,24.07K,1.19%
12/28/2021,48607,48202,48607,47797,15.68K,0.50%
12/29/2021,48607,47959,48850,47392,16.17K,0.00%
12/30/2021,48202,48769,49012,48121,21.48K,-0.83%
12/31/2021,48607,48607,48607,47554,17.16K,0.84%
1/4/2022,49417,48607,49417,46663,146.65K,1.67%
1/5/2022,50390,50633,50633,48607,27.03K,1.97%
1/6/2022,48607,50065,50065,46987,112.45K,-3.54%
1/7/2022,47797,48121,48121,47635,50.12K,-1.67%
1/10/2022,46177,47716,47716,46177,62.21K,-3.39%
1/11/2022,44557,46177,46177,44071,94.43K,-3.51%
1/12/2022,44557,42936,44557,41478,133.68K,0.00%
1/13/2022,44395,44557,46096,42936,48.64K,-0.36%
1/14/2022,43990,44557,44557,42531,49.25K,-0.91%
1/17/2022,41316,42207,43990,41316,80.73K,-6.08%
1/18/2022,40182,40911,42045,40182,31.85K,-2.74%
1/19/2022,42936,40101,42936,40101,50.73K,6.85%
1/20/2022,44314,43747,44314,42936,29.75K,3.21%
1/21/2022,44152,43747,44557,43260,64.44K,-0.37%
1/24/2022,41802,43747,43747,41073,50.36K,-5.32%
1/25/2022,41802,41802,41802,40101,80.98K,0.00%
1/26/2022,41721,41964,41964,40344,47.03K,-0.19%
1/27/2022,41964,41478,41964,41235,38.64K,0.58%
1/28/2022,44071,41964,44395,41883,37.40K,5.02%
2/7/2022,47149,46825,47149,44881,100.97K,6.98%
2/8/2022,47473,48607,48769,47230,56.78K,0.69%
2/9/2022,48607,48526,49093,47635,118.01K,2.39%
2/10/2022,49450,50951,50951,48655,19.93K,1.73%
2/11/2022,49008,46801,49185,46801,16.19K,-0.89%
2/14/2022,48832,49008,49185,48125,16.08K,-0.36%
2/15/2022,48478,47772,49008,47684,28.31K,-0.72%
2/16/2022,49450,48125,49450,48125,63.87K,2.01%
2/17/2022,50068,50686,50686,48655,11.55K,1.25%
2/18/2022,50068,49715,50333,49626,42.69K,0.00%
2/21/2022,50509,50068,51216,49538,28.77K,0.88%
2/22/2022,50068,50333,50333,49715,20.95K,-0.87%
2/23/2022,50421,50068,50509,49891,20.95K,0.71%
2/24/2022,49715,50421,50421,47684,48.24K,-1.40%
2/25/2022,49008,49715,49891,49008,9.06K,-1.42%
2/28/2022,48567,49450,49450,48567,23.78K,-0.90%
3/1/2022,48302,48567,48567,47684,23.78K,-0.55%
3/2/2022,48302,48302,48302,47684,35.90K,0.00%
3/3/2022,49273,49450,49450,47772,11.78K,2.01%
3/4/2022,49361,49361,49450,48037,30.69K,0.18%
3/7/2022,49008,47684,49361,47684,8.95K,-0.72%
3/8/2022,47860,48743,49097,47772,24.91K,-2.34%
3/9/2022,47684,47860,48390,47331,14.61K,-0.37%
3/10/2022,49273,49450,50156,48567,53.68K,3.33%
3/11/2022,49097,49361,49538,47860,23.22K,-0.36%
3/14/2022,48832,49450,49450,47860,31.71K,-0.54%
3/15/2022,49008,48125,49273,47860,40.43K,0.36%
3/16/2022,49008,49361,49361,47684,18.91K,0.00%
3/17/2022,52364,49185,52364,49185,345.85K,6.85%
3/18/2022,52540,54748,54748,52364,82.90K,0.34%
3/21/2022,52099,52894,52894,51216,13.82K,-0.84%
3/22/2022,48743,51304,51657,48567,193.42K,-6.44%
3/23/2022,49626,48743,49715,48743,47.68K,1.81%
3/24/2022,49891,49891,51216,49008,60.59K,0.53%
3/25/2022,49626,51128,51128,49538,79.50K,-0.53%
3/28/2022,49273,49450,49626,48655,73.38K,-0.71%
3/29/2022,52717,49450,52717,49450,293.08K,6.99%
3/30/2022,53953,55631,55631,49097,217.43K,2.34%
3/31/2022,55631,54042,55631,53688,282.78K,3.11%
4/1/2022,56073,53070,56956,53070,161.83K,0.79%
4/4/2022,55454,56514,56514,54748,157.64K,-1.10%
4/5/2022,55896,55454,56691,54395,124.80K,0.80%
4/6/2022,57397,56514,58368,55631,158.66K,2.69%
4/7/2022,57839,58280,59870,57397,115.74K,0.77%
4/8/2022,56249,58280,59163,54836,88.22K,-2.75%
4/12/2022,56514,57044,57220,54130,229.32K,0.47%
4/13/2022,57309,57750,57750,56161,177.57K,1.41%
4/14/2022,58192,57750,58280,56514,200.11K,1.54%
4/15/2022,60841,58280,61812,58280,289.91K,4.55%
4/18/2022,62430,61018,62695,61018,128.65K,2.61%
4/19/2022,58104,62607,62695,58104,170.89K,-6.93%
4/20/2022,61812,58015,62165,55366,344.16K,6.38%
4/21/2022,60929,61812,61812,57839,76.89K,-1.43%
4/22/2022,58898,59163,60046,56691,351.40K,-3.33%
