Date,Price,Open,High,Low,Vol.,Change %
8/4/2021,15200,14700,15800,14600,421.38K,4.11%
8/5/2021,15100,15000,15200,14800,132.20K,-0.66%
8/6/2021,15300,15000,15700,14900,251.30K,1.32%
8/9/2021,15400,15300,15500,14900,168.94K,0.65%
8/10/2021,16500,15400,16900,15400,391.10K,7.14%
8/11/2021,16400,16500,17000,16100,213.30K,-0.61%
8/12/2021,15800,16300,16500,15800,279.50K,-3.66%
8/13/2021,16000,15700,16200,15200,260.31K,1.27%
8/16/2021,16100,15600,16400,15500,103.32K,0.63%
8/17/2021,16900,16100,17900,15800,546.10K,4.97%
8/18/2021,16900,16900,17200,16700,188.36K,0.00%
8/19/2021,17000,17000,17100,16700,83.90K,0.59%
8/20/2021,15700,16800,16800,15400,533.32K,-7.65%
8/23/2021,16100,16000,16200,15000,340.05K,2.55%
8/24/2021,16200,16400,17400,16000,238.84K,0.62%
8/25/2021,16100,16500,16600,15900,84.50K,-0.62%
8/26/2021,16400,16000,16600,15900,116.02K,1.86%
8/27/2021,17900,16400,17900,16100,758.71K,9.15%
8/30/2021,18900,17700,19000,17600,350.50K,5.59%
8/31/2021,20900,19200,20900,18900,517.06K,10.58%
9/1/2021,23000,23500,23500,21500,992.66K,10.05%
9/6/2021,23600,23100,24300,21300,618.03K,2.61%
9/7/2021,23000,23600,24000,22500,298.50K,-2.54%
9/8/2021,22400,23100,23100,21800,202.63K,-2.61%
9/9/2021,23700,21700,25000,21200,937.39K,5.80%
9/10/2021,23500,23700,23900,23000,292.82K,-0.84%
9/13/2021,23100,23600,23800,22400,256.30K,-1.70%
9/14/2021,23300,23500,24000,22800,513.60K,0.87%
9/15/2021,23200,23300,23500,22500,120.40K,-0.43%
9/16/2021,25300,23300,26400,23000,561.00K,9.05%
9/17/2021,24600,25300,25400,24100,174.00K,-2.77%
9/20/2021,23900,24900,25000,23300,266.80K,-2.85%
9/21/2021,23900,23500,24000,22900,326.75K,0.00%
9/22/2021,24000,24000,24900,23500,389.06K,0.42%
