Date,Price,Open,High,Low,Vol.,Change %
1/9/2019,101500,101000,101900,99000,659.21K,0.50%
1/10/2019,101400,101200,101500,100000,551.98K,-0.10%
1/11/2019,101400,101000,101400,100100,569.03K,0.00%
1/14/2019,101400,101300,101900,100200,562.93K,0.00%
1/15/2019,101500,101400,101500,100400,711.45K,0.10%
1/16/2019,102000,101500,102100,100800,518.16K,0.49%
1/17/2019,102000,102000,102200,100700,325.13K,0.00%
1/18/2019,102200,101500,102200,100900,498.29K,0.20%
1/21/2019,102400,102200,102400,101300,404.25K,0.20%
1/22/2019,102400,102400,102400,101500,258.07K,0.00%
1/23/2019,102600,102000,103700,102000,299.57K,0.20%
1/24/2019,102800,102500,102900,102200,184.72K,0.19%
1/25/2019,102900,102800,103500,102200,306.67K,0.10%
1/28/2019,103700,102900,103700,102600,381.26K,0.78%
1/29/2019,103900,104900,104900,103000,225.31K,0.19%
1/30/2019,103900,103900,104000,102900,370.04K,0.00%
1/31/2019,103900,104000,104500,102500,651.02K,0.00%
2/1/2019,98800,103800,103800,98800,2.10M,-4.91%
2/11/2019,104000,102000,104000,101200,527.31K,5.26%
2/12/2019,109100,104900,109100,104000,769.11K,4.90%
2/13/2019,109000,108000,109300,107200,822.04K,-0.09%
2/14/2019,112900,109000,113000,109000,995.31K,3.58%
2/15/2019,112000,113000,113000,112000,670.90K,-0.80%
2/18/2019,113700,112500,113700,111700,829.15K,1.52%
2/19/2019,116000,113500,116600,113500,1.00M,2.02%
2/20/2019,116500,115200,116900,115200,678.80K,0.43%
2/21/2019,118400,116500,118400,116300,1.16M,1.63%
2/22/2019,117000,118000,118400,116600,720.97K,-1.18%
2/25/2019,116300,117000,117900,115900,624.89K,-0.60%
2/26/2019,115500,116000,116600,113500,792.71K,-0.69%
2/27/2019,117400,115500,117900,115500,824.62K,1.65%
2/28/2019,114000,117000,117400,113100,1.13M,-2.90%
3/1/2019,115100,114000,117000,114000,739.26K,0.96%
3/4/2019,117400,116700,117600,115800,660.55K,2.00%
3/5/2019,117300,117400,117800,116900,706.06K,-0.09%
3/6/2019,117700,117700,117700,117100,377.28K,0.34%
3/7/2019,119200,117900,122500,117800,1.80M,1.27%
3/8/2019,118100,119000,119600,118100,845.28K,-0.92%
3/11/2019,118300,117000,118300,117000,429.39K,0.17%
3/12/2019,118600,119000,119400,118200,902.20K,0.25%
3/13/2019,117500,118500,120000,117000,1.26M,-0.93%
3/14/2019,118800,116500,118800,115600,1.16M,1.11%
3/15/2019,118700,119300,119300,117900,1.70M,-0.08%
3/18/2019,121300,120000,121300,119100,1.11M,2.19%
3/19/2019,121000,121300,122400,120700,1.19M,-0.25%
3/20/2019,120200,121000,121000,119100,780.19K,-0.66%
3/21/2019,117000,120000,120300,117000,1.21M,-2.66%
3/22/2019,118600,117000,118900,117000,1.11M,1.37%
3/25/2019,115200,117000,117300,115000,886.80K,-2.87%
3/26/2019,113700,115500,116800,113000,846.57K,-1.30%
3/27/2019,113900,115000,115900,113900,772.08K,0.18%
3/28/2019,115900,113900,115900,113900,561.88K,1.76%
3/29/2019,115900,115900,116800,115900,1.10M,0.00%
4/1/2019,116500,116400,116500,115800,828.43K,0.52%
4/2/2019,116300,116900,117200,116200,1.04M,-0.17%
4/3/2019,114900,115500,116000,114500,464.27K,-1.20%
4/4/2019,115100,115300,115800,114100,383.73K,0.17%
4/5/2019,115100,115300,115400,114600,235.79K,0.00%
4/8/2019,115500,115200,115800,114800,435.19K,0.35%
4/9/2019,113000,116000,116000,112800,1.16M,-2.16%
4/10/2019,111800,113000,114000,110900,696.00K,-1.06%
4/11/2019,115000,111800,115000,111800,350.81K,2.86%
4/12/2019,113200,115000,115000,113000,551.99K,-1.57%
4/16/2019,113100,109500,113100,108000,1.23M,-0.09%
4/17/2019,110000,111300,113000,110000,960.22K,-2.74%
4/18/2019,109000,109500,110000,105000,891.24K,-0.91%
4/19/2019,110100,110000,110600,108200,414.05K,1.01%
4/22/2019,111900,109000,111900,107000,794.06K,1.63%
4/23/2019,113000,111900,113000,111000,534.66K,0.98%
4/24/2019,113800,113000,114000,112100,447.82K,0.71%
4/25/2019,113600,113800,113800,112000,503.49K,-0.18%
4/26/2019,113700,112000,113700,112000,826.05K,0.09%
5/2/2019,113600,113800,113900,113000,190.97K,-0.09%
5/3/2019,112500,113700,113700,112100,705.50K,-0.97%
5/6/2019,112200,112000,112300,110200,290.58K,-0.27%
5/7/2019,112600,112200,113300,111000,421.35K,0.36%
5/8/2019,112600,111500,112700,111400,348.50K,0.00%
5/9/2019,112600,112700,112700,111600,314.14K,0.00%
5/10/2019,112700,112600,113000,112200,289.16K,0.09%
5/13/2019,112900,111900,112900,111700,439.20K,0.18%
5/14/2019,113500,112000,113500,111900,539.28K,0.53%
5/15/2019,115300,113500,116200,113400,456.79K,1.59%
5/16/2019,116900,115300,118900,115300,773.01K,1.39%
5/17/2019,116900,117000,118100,116100,464.26K,0.00%
5/20/2019,117500,117000,117500,116100,406.34K,0.51%
5/21/2019,117500,118700,118700,116300,708.62K,0.00%
5/22/2019,117500,117200,118100,116000,382.33K,0.00%
5/23/2019,117000,117000,117600,116200,249.83K,-0.43%
